MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,RoomsPerBedroom,PopulationPerRoom,OccupancyRate,IncomePerPerson,DistanceFromCenter
8.3252,41.0,6.984126984126984,1.0238095238095235,322.0,2.5555555555555554,37.88,-122.23,4.526,6.821698763301986,46.104538853213754,0.36590903851756945,258.546583047992,3.020206830665742
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585,6.4186190737897775,384.89048626491433,0.3382165960148632,34.574760502051326,3.003637677883265
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521,7.7210454388155645,59.844573556585196,0.33810493534793895,146.3185480920997,3.0187396873529777
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,5.421271543580987,95.9199207170623,0.4379905055573621,101.13082419152181,3.028090371835025
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,5.810708910808543,89.94159600806799,0.347264849452,68.07433616270029,3.028090371835025
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,4.314550081182322,86.73447580005023,0.4494014290158043,97.74334116769168,3.028090371835025
3.6591,52.0,4.9319066147859925,0.95136186770428,1094.0,2.1284046692607004,37.84,-122.25,2.992,5.184043630678066,221.8208623211348,0.4315580979010405,33.4469835160448,3.024565638236338
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,4.518190795823225,241.1658646796667,0.3727447676656363,26.96629211152438,3.024565638236338
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,3.8421018254878403,280.84924966524324,0.47201554565587095,17.25041457939435,3.0339313275023243
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,5.019796910700149,312.03544018221913,0.43702442602551694,23.798839443069735,3.024565638236338
3.2031,52.0,5.477611940298507,1.079601990049751,910.0,2.263681592039801,37.85,-122.26,2.815,5.073728019265753,166.1307598616869,0.4132605966708629,35.19890106022099,3.0374451929211843
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,4.658240134111359,315.1400995395852,0.4293461846588354,21.74534573022251,3.0374451929211843
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,5.255269072856696,206.28819889888516,0.44078674978394267,28.005464455368426,3.0374451929211843
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,3.6439757379488045,86.24997843750539,0.49568953125003096,77.49565194928796,3.0339313275023243
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774191,37.85,-122.26,1.592,4.2220405468608,284.3132136684856,0.45856969946529935,15.814356422595415,3.0374451929211843
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4,3.957593481255551,164.2928184166928,0.6223212818814121,30.487804834307312,3.0374451929211843
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525,5.665700647415233,133.51116775574948,0.40335700228323107,34.993694785632165,3.0468041125087053
2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,1.555,4.19112194569983,159.88921136284117,0.5276871662139974,32.719135751976644,3.0468041125087053
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,1.587,4.920874589348456,185.26570896546133,0.44216159657628,20.112121191805937,3.0339313275023243
2.6033,52.0,5.465454545454546,1.0836363636363635,690.0,2.5090909090909093,37.84,-122.27,1.629,5.043619506726967,126.24748189084661,0.45908175233035137,37.72898545256669,3.043301053132924
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475,4.081518056891319,90.404773625576,0.5446070700335903,33.198043928611135,3.0468041125087053
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598,4.4659356007290745,207.45205861656288,0.5668089033239422,18.44456402750854,3.0468041125087053
1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139,4.502768664836559,199.1666275855304,0.41666658490696734,16.9950738748817,3.043301053132924
2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.997,5.008897246612449,164.23278828456384,0.5053316562601965,25.56389211539989,3.043301053132924
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.326,5.089239936706514,190.88665442708265,0.4523380436660726,25.844930391804244,3.043301053132924
2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28,1.075,4.349589287795729,70.51026469024019,0.592523232691094,75.82965275763516,3.056167092945016
